"Timestamp","Type","Name","Metric1","Value1","Metric2","Value2","Status","Notes"
"2026-06-23 13:04:41","Drive","C","UsedGB","364.23","FreeGB","111.68","PASS","Drive metric collected"
"2026-06-23 13:04:41","Process","OmenCommandCenterBackground [21884]","CPUSeconds","84479.7","WorkingSetMB","442.6","PASS","Top process metric collected safely"
"2026-06-23 13:04:42","Process","WindowsTerminal [39896]","CPUSeconds","84279.31","WorkingSetMB","137.04","PASS","Top process metric collected safely"
"2026-06-23 13:04:42","Process","explorer [7544]","CPUSeconds","38490.05","WorkingSetMB","292.22","PASS","Top process metric collected safely"
"2026-06-23 13:04:42","Process","chrome [1716]","CPUSeconds","22127.91","WorkingSetMB","797.09","PASS","Top process metric collected safely"
"2026-06-23 13:04:42","Process","chrome [20808]","CPUSeconds","16409.27","WorkingSetMB","448.72","PASS","Top process metric collected safely"
"2026-06-23 13:04:42","Process","chrome [27488]","CPUSeconds","15084.17","WorkingSetMB","50.24","PASS","Top process metric collected safely"
"2026-06-23 13:04:42","Process","chrome [23004]","CPUSeconds","11370.28","WorkingSetMB","73.63","PASS","Top process metric collected safely"
"2026-06-23 13:04:42","Process","chrome [46608]","CPUSeconds","6797.81","WorkingSetMB","502.71","PASS","Top process metric collected safely"
"2026-06-23 13:04:42","Process","chrome [2996]","CPUSeconds","5753.44","WorkingSetMB","289.96","PASS","Top process metric collected safely"
"2026-06-23 13:04:42","Process","claude [13832]","CPUSeconds","5555.36","WorkingSetMB","40.78","PASS","Top process metric collected safely"
