"ScanName","Line","Match","LineText"
"deriveGender suspicious","651","deriveGenderFromIdentification","function deriveGenderFromIdentification(value, kind) {"
"deriveGender suspicious","1093","deriveGenderFromIdentification","  const Gender * = source.Gender * || deriveGenderFromIdentification(nricPassportNumber, identificationKind);"
"deriveGender suspicious","1264","deriveGenderFromIdentification","  const Gender * = form.Gender * || deriveGenderFromIdentification(nricPassportNumber, identificationKind);"
"deriveGender suspicious","1506","deriveGenderFromIdentification","        const suggestedGender * = deriveGenderFromIdentification(idValue, kind);"
"deriveGender suspicious","1706","deriveGenderFromIdentification","      const derivedGender = deriveGenderFromIdentification(payload.nricPassportNumber, payload.identificationKind);"
"country constants","258","COUNTRY_OPTIONS","const COUNTRY_OPTIONS = ["
"country constants","326","COUNTRY_TO_CONTINENT","const COUNTRY_TO_CONTINENT = {"
"country constants","1096","COUNTRY_TO_CONTINENT","  const region = source.region || getDefaultRegion(country, source.continent || COUNTRY_TO_CONTINENT[country] || """");"
"country constants","1170","COUNTRY_TO_CONTINENT","    continent: source.continent || COUNTRY_TO_CONTINENT[country] || ""Asia"","
"country constants","1527","COUNTRY_TO_CONTINENT","        next.continent = COUNTRY_TO_CONTINENT[value] || previous.continent || """";"
"country constants","2447","COUNTRY_OPTIONS","                {COUNTRY_OPTIONS.map((country) => ("
"any function line containing star before parenthesis","869","function titleMatchesGender *(","function titleMatchesGender *(title, Gender *) {"
