"File","Line","Pattern","Text"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","1","import\s+","import MatterIntakeWizard from './pages/MatterIntakeWizard.jsx';"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","2","import\s+","import React, { useEffect, useState } from ""react"";"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","3","import\s+","import ""./App.css"";"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","5","import\s+","import Clients from ""./pages/Clients"";"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","5","Clients","import Clients from ""./pages/Clients"";"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","6","import\s+","import Cases from ""./pages/Cases"";"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","6","Cases","import Cases from ""./pages/Cases"";"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","7","import\s+","import Matters from ""./pages/Matters"";"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","7","Matters","import Matters from ""./pages/Matters"";"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","8","import\s+","import Deadlines from ""./pages/Deadlines"";"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","8","Deadlines","import Deadlines from ""./pages/Deadlines"";"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","9","import\s+","import Documents from ""./pages/Documents"";"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","9","Documents","import Documents from ""./pages/Documents"";"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","10","import\s+","import Staff from ""./pages/Staff"";"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","23","Clients","[""Clients"", ""OPEN"", ""Client records, contacts, onboarding and profile management.""],"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","24","Cases","[""Cases"", ""OPEN"", ""Case files, parties, progress and litigation status.""],"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","25","Matters","[""Matters"", ""OPEN"", ""Matter workspace and legal file tracking.""],"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","26","Deadlines","[""Court Dates"", ""OPEN"", ""Hearings, mentions, deadlines and reminders.""],"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","27","Documents","[""Documents"", ""OPEN"", ""Drafts, filings, templates, evidence and archives.""],"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","34","Matters","[""Lawyer View"", ""PLANNED"", ""Hearings, active matters, pleadings, deadlines and court preparation.""],"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","34","Deadlines","[""Lawyer View"", ""PLANNED"", ""Hearings, active matters, pleadings, deadlines and court preparation.""],"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","198","Clients","if (module === ""Clients"") return <ModuleFrame title=""Clients"" setModule={setModule} previous={previous} canGoBack={canGoBack}><Clients /></ModuleFrame>;"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","199","Cases","if (module === ""Cases"") return <ModuleFrame title=""Cases"" setModule={setModule} previous={previous} canGoBack={canGoBack}><Cases /></ModuleFrame>;"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","200","Matters","if (module === ""Matters"") return <ModuleFrame title=""Matters"" setModule={setModule} previous={previous} canGoBack={canGoBack}><Matters /></ModuleFrame>;"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","201","Deadlines","if (module === ""Court Dates"") return <ModuleFrame title=""Court Dates"" setModule={setModule} previous={previous} canGoBack={canGoBack}><Deadlines /></ModuleFrame>;"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","202","Documents","if (module === ""Documents"") return <ModuleFrame title=""Documents"" setModule={setModule} previous={previous} canGoBack={canGoBack}><Documents /></ModuleFrame>;"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","214","Clients","<button onClick={() => setModule(""Clients"")}>▶ 1. Client Details</button>"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","215","Cases","<button onClick={() => setModule(""Cases"")}>2. Case / Matter Details</button>"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","217","Documents","<button onClick={() => setModule(""Documents"")}>4. Document Details</button>"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","251","Clients","""Clients"": ""Cases"","
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","251","Cases","""Clients"": ""Cases"","
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","252","Cases","""Cases"": ""Court Dates"","
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","253","Matters","""Matters"": ""Court Dates"","
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","254","Documents","""Court Dates"": ""Documents"","
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","255","Documents","""Documents"": ""Review Submit"","
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","261","Clients","""Clients"": ""home"","
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","262","Clients","""Cases"": ""Clients"","
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","262","Cases","""Cases"": ""Clients"","
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","263","Clients","""Matters"": ""Clients"","
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","263","Matters","""Matters"": ""Clients"","
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","264","Cases","""Court Dates"": ""Cases"","
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","265","Documents","""Documents"": ""Court Dates"","
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","266","Documents","""Review / Save & Submit"": ""Documents"","
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","275","Clients","title === ""Clients"" ? ""Save & Next -> Case / Matter Details"" :"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","276","Cases","title === ""Cases"" ? ""Save & Next -> Deadline Details"" :"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","277","Matters","title === ""Matters"" ? ""Save & Next -> Deadline Details"" :"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","279","Documents","title === ""Documents"" ? ""Save & Next -> Review / Submit"" :"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","366","Clients","<button onClick={() => setModule(""Clients"")}>"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","370","Cases","<button onClick={() => setModule(""Cases"")}>"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\src\App.jsx","378","Documents","<button onClick={() => setModule(""Documents"")}>"
